Time_Index,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NENGREST_natural_gas_fired_combined_cycle_1,NENGREST_natural_gas_fired_combined_cycle_2,NENGREST_natural_gas_fired_combustion_turbine_1,NENGREST_nuclear_1,NENGREST_offshore_wind_turbine_1,NENGREST_onshore_wind_turbine_1,NENGREST_small_hydroelectric_1,NENGREST_solar_photovoltaic_1,NENG_CT_biomass_1,NENG_CT_conventional_hydroelectric_1,NENG_CT_hydroelectric_pumped_storage_1,NENG_CT_natural_gas_fired_combined_cycle_1,NENG_CT_natural_gas_fired_combined_cycle_2,NENG_CT_natural_gas_fired_combustion_turbine_1,NENG_CT_natural_gas_fired_combustion_turbine_2,NENG_CT_nuclear_1,NENG_CT_onshore_wind_turbine_1,NENG_CT_small_hydroelectric_1,NENG_CT_solar_photovoltaic_1,NENG_ME_biomass_1,NENG_ME_conventional_hydroelectric_1,NENG_ME_natural_gas_fired_combined_cycle_1,NENG_ME_natural_gas_fired_combined_cycle_2,NENG_ME_onshore_wind_turbine_1,NENG_ME_small_hydroelectric_1,NENG_ME_solar_photovoltaic_1,NENGREST_naturalgas_ccccsavgcf_mid_0,NENGREST_naturalgas_ccavgcf_mid_0,NENGREST_naturalgas_ctavgcf_mid_0,NENGREST_battery_mid_0,NENGREST_naturalgas_ccs100_mid_0,NENGREST_landbasedwind_ltrg1_mid_130_1,NENGREST_utilitypv_losangeles_mid_80_0_2_1,NENGREST_offshorewind_otrg3_mid_fixed_1_176_77_1,NENGREST_heat_load_shifting_1
67,1,0.4046,1,1,1,1,1,1,0.4124,0.4046,0,1,0.3182,1,1,1,1,1,1,0.658,0.3182,0,1,0.6518,1,1,0.5953,0.6518,0,1,1,1,1,1,0.330748141,0,1,0.753987434
68,1,0.4045,1,1,1,1,1,1,0.4913,0.4045,0,1,0.3182,1,1,1,1,1,1,0.8943,0.3182,0,1,0.6519,1,1,0.6744,0.6519,0,1,1,1,1,1,0.444034606,0,1,0.729519091
69,1,0.4043,1,1,1,1,1,1,0.5003,0.4043,0,1,0.3182,1,1,1,1,1,1,0.6396,0.3182,0,1,0.652,1,1,0.6384,0.652,0,1,1,1,1,1,0.470490813,0,1,0.686442726
70,1,0.4042,1,1,1,1,1,1,0.578,0.4042,0,1,0.3182,1,1,1,1,1,1,0.6728,0.3182,0,1,0.6521,1,1,0.5919,0.6521,0,1,1,1,1,1,0.623107553,0,1,0.628987434
71,1,0.4041,1,1,1,1,1,1,0.4769,0.4041,0,1,0.3182,1,1,1,1,1,1,0.8453,0.3182,0,1,0.6522,1,1,0.6094,0.6522,0,1,1,1,1,1,0.481376976,0,1,0.578661189
72,1,0.4039,1,1,1,1,1,1,0.6133,0.4039,0,1,0.3182,1,1,1,1,1,1,0.9751,0.3182,0,1,0.6523,1,1,0.7632,0.6523,0,1,1,1,1,1,0.719660997,0,1,0.547426293
73,1,0.4038,1,1,1,1,1,1,0.5683,0.4038,0,1,0.3181,1,1,1,1,1,1,0.7979,0.3181,0,1,0.6524,1,1,0.6559,0.6524,0,1,1,1,1,1,0.547050893,0,1,0.530993233
74,1,0.4037,1,1,1,1,1,1,0.555,0.4037,0,1,0.3181,1,1,1,1,1,1,0.5823,0.3181,0,1,0.6525,1,1,0.5774,0.6525,0,1,1,1,1,1,0.470467687,0,1,0.522595457
75,1,0.4035,1,1,1,1,1,1,0.5631,0.4035,0,1,0.3181,1,1,1,1,1,1,0.47,0.3181,0,1,0.6525,1,1,0.5751,0.6525,0,1,1,1,1,1,0.50397408,0,1,0.523562107
76,1,0.4034,1,1,1,1,1,1,0.5285,0.4034,0,1,0.3181,1,1,1,1,1,1,0.4719,0.3181,0,1,0.6526,1,1,0.5982,0.6526,0,1,1,1,1,1,0.513184905,0,1,0.537759787
